,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
912,Bumblebee,2018-12-21,2018,12,127195589,127195589,Adventure,Paramount Pictures,25
913,L.A. Confidential,1997-09-19,1997,9,127111329,64604977,Drama,Warner Bros.,24
914,Unbroken,2014-12-25,2014,12,127107129,115637895,Drama,Universal,25
915,Willow,1988-05-20,1988,5,126941227,57269863,Adventure,Sony Pictures,23
916,You Don't Mess With the Zohan,2008-06-06,2008,6,126904122,100018837,Comedy,Sony Pictures,25
917,National Lampoon's European Vacation,1985-07-26,1985,7,126770132,49400000,Comedy,Warner Bros.,23
918,Norbit,2007-02-09,2007,2,126684088,95673607,Comedy,Paramount Pictures,25
919,In & Out,1997-09-19,1997,9,126662425,63826569,Comedy,Paramount Pictures,24
920,Artificial Intelligence: AI,2001-06-29,2001,6,126536752,78616689,Drama,Warner Bros.,25
921,Sister Act 2 Back in the Habit,1993-12-10,1993,12,126400621,57319029,Comedy,Walt Disney,23
922,La Bamba,1987-07-24,1987,7,126317757,54215416,Drama,Sony Pictures,23
923,Mean Girls,2004-04-30,2004,4,126230310,86047227,Comedy,Paramount Pictures,25
924,The Fifth Element,1997-05-09,1997,5,126172234,63570862,Action,Sony Pictures,24
925,Scary Movie 4,2006-04-14,2006,4,126163925,90710620,Comedy,Weinstein/Dimension,25
926,Species,1995-07-07,1995,7,125769198,60054449,Action,MGM,24
927,The Hangover 3,2013-05-23,2013,5,125724796,112200072,Comedy,Warner Bros.,25
928,Brubaker,1980-06-20,1980,6,125717007,37121708,Drama,20th Century Fox,22
929,The Princess and the Frog,2009-11-25,2009,11,125699042,104400899,Adventure,Walt Disney,25
930,My Girl,1991-11-27,1991,11,125530789,58011485,Comedy,Sony Pictures,23
931,Unlawful Entry,1992-06-26,1992,6,125429814,57138719,Thriller/Suspense,20th Century Fox,23
932,The Family Man,2000-12-22,2000,12,125423938,75764085,Comedy,Universal,24
933,The American President,1995-11-17,1995,11,125405955,60022813,Romantic Comedy,Sony Pictures,24
934,Night at the Museum: Secret of the Tomb,2014-12-19,2014,12,125307066,113746621,Adventure,20th Century Fox,25
935,SpongeBob SquarePants: The Movie,2004-11-19,2004,11,125144234,85416609,Adventure,Paramount Pictures,25
936,Tombstone,1993-12-25,1993,12,125121186,56505065,Western,Walt Disney,23
937,Beethoven,1992-04-03,1992,4,125080245,56979478,Comedy,Universal,23
938,Freddy vs. Jason,2003-08-15,2003,8,124824601,82622655,Horror,New Line,25
939,Jingle All the Way,1996-11-22,1996,11,124628189,60592389,Adventure,20th Century Fox,24
940,RoboCop,1987-07-17,1987,7,124475405,53424681,Action,Orion Pictures,23
941,"Greystoke: The Legend of Tarzan, Lord…",1984-03-30,1984,3,124449105,45900000,Adventure,Warner Bros.,23
942,Mr. Peabody & Sherman,2014-03-07,2014,3,124335803,111506430,Adventure,20th Century Fox,25
943,The Thomas Crown Affair,1999-08-06,1999,8,124281563,69304264,Drama,MGM,23
944,Hop,2011-04-01,2011,4,124168617,108085305,Adventure,Universal,25
945,The Cable Guy,1996-06-14,1996,6,124160427,60240295,Comedy,Sony Pictures,24
946,The Abyss,1989-08-09,1989,8,123848336,54243125,Action,20th Century Fox,23
947,Hollow Man,2000-08-04,2000,8,123736001,73209340,Horror,Sony Pictures,24
948,Saw II,2005-10-28,2005,10,123681186,87025093,Horror,Lionsgate,25
949,Galaxy Quest,1999-12-24,1999,12,123534962,71423726,Adventure,Dreamworks SKG,23
950,Scooby-Doo 2: Monsters Unleashed,2004-03-26,2004,3,123499014,84185387,Adventure,Warner Bros.,25
951,Anchorman: The Legend of Ron Burgundy,2004-07-09,2004,7,123427892,84136909,Comedy,Dreamworks SKG,25
952,Failure to Launch,2006-03-10,2006,3,123388609,88715192,Romantic Comedy,Paramount Pictures,25
953,Inside Man,2006-03-24,2006,3,123276010,88634237,Thriller/Suspense,Universal,25
954,Outrageous Fortune,1987-01-30,1987,1,123170789,52864741,Comedy,Walt Disney,23
955,Black Swan,2010-12-03,2010,12,123148187,106954678,Thriller/Suspense,Fox Searchlight,25
956,Yes Man,2008-12-19,2008,12,122966142,97690976,Comedy,Warner Bros.,25
957,Forever Young,1992-12-11,1992,12,122893117,55942530,Drama,Warner Bros.,23
958,Training Day,2001-10-05,2001,10,122745234,76261036,Drama,Warner Bros.,25
959,School of Rock,2003-10-03,2003,10,122722641,81261177,Comedy,Paramount Pictures,25
960,Throw Momma From the Train,1987-12-11,1987,12,122586046,53380796,Comedy,Orion Pictures,23
961,We Were Soldiers,2002-03-01,2002,3,122491384,78120196,Drama,Paramount Pictures,25
962,Legal Eagles,1986-06-18,1986,6,122411853,49851591,Comedy,Universal,23
963,Blue Thunder,1983-05-13,1983,5,122372899,42313354,Action,Sony Pictures,23
964,Blue Streak,1999-09-17,1999,9,122272070,68208190,Action,Sony Pictures,23
965,Jaws 3-D,1983-07-22,1983,7,122175740,42245180,Horror,Universal,23
966,Mouse Hunt,1997-12-19,1997,12,121922155,61894591,Adventure,Dreamworks SKG,24
967,The Dark Crystal,1982-12-17,1982,12,121901930,40577001,Adventure,Universal,23
968,Time Bandits,1981-11-06,1981,11,121880658,37400000,Adventure,Avco Embassy,23
969,Robin Hood,2010-05-14,2010,5,121798213,105487148,Action,Universal,25
970,The Saint,1997-04-04,1997,4,121790779,61363304,Action,Paramount Pictures,24
971,The Texas Chainsaw Massacre,2003-10-17,2003,10,121721525,80571655,Horror,New Line,25
972,Courage Under Fire,1996-07-12,1996,7,121611039,59003384,Drama,20th Century Fox,24
973,Boyz n the Hood,1991-07-12,1991,7,121589485,56190094,Drama,Sony Pictures,23
974,Cheech & Chong's Nice Dreams,1981-06-05,1981,6,121248197,37000000,Comedy,Columbia,23
975,Scarface,1983-12-09,1983,12,121058463,44942821,Drama,Universal,23
976,To the Limit,1989-11-15,1989,11,121010025,53000000,Documentary,,23
977,Devil's Advocate,1997-10-17,1997,10,121003384,61007424,Drama,Warner Bros.,24
978,Jack,1996-08-09,1996,8,120810543,58617334,Drama,Walt Disney,24
979,Mamma Mia: Here We Go Again!,2018-07-20,2018,7,120634935,120634935,Musical,Universal,25
980,Alien 3,1992-05-22,1992,5,120575068,54927174,Action,20th Century Fox,23
981,Epic,2013-05-24,2013,5,120479112,107518682,Adventure,20th Century Fox,25
982,The Chronicles of Narnia: The Voyage …,2010-12-10,2010,12,120426201,104386950,Adventure,20th Century Fox,25
983,Cobra,1986-05-23,1986,5,120424434,49042224,Action,Cannon,23
984,"10,000 B.C.",2008-03-07,2008,3,120262404,94784201,Adventure,Warner Bros.,25
985,Gangs of New York,2002-12-20,2002,12,120127047,77730500,Drama,Miramax,25
986,Kiss the Girls,1997-10-03,1997,10,120100054,60527873,Thriller/Suspense,Paramount Pictures,24
987,Captain Phillips,2013-10-11,2013,10,120038134,107136417,Drama,Sony Pictures,25
988,The Game Plan,2007-09-28,2007,9,119965363,90648202,Comedy,Walt Disney,25
989,Beverly Hills Chihuahua,2008-10-03,2008,10,119880276,94514402,Adventure,Walt Disney,25
990,Fletch,1985-05-31,1985,5,119841403,46700000,Comedy,Universal,23
991,"Tarzan, The Ape Man",1981-07-24,1981,7,119822709,36565000,Action,MGM,23
992,Spy!,2015-06-05,2015,6,119765389,110825712,Comedy,20th Century Fox,25
993,End of Days,1999-11-24,1999,11,119570554,66889043,Action,Universal,23
994,Paranormal Activity 3,2011-10-21,2011,10,119508405,104028807,Horror,Paramount Pictures,25
995,Bad Moms,2016-07-29,2016,7,119280227,113257297,Comedy,STX Entertainment,25
996,The Living Daylights,1987-07-31,1987,7,119257115,51185000,Action,MGM,23
997,Star Trek V: The Final Frontier,1989-06-09,1989,6,119206400,52210049,Action,Paramount Pictures,23
998,Along Came a Spider,2001-04-06,2001,4,119200478,74058698,Thriller/Suspense,Paramount Pictures,25
999,Bowfinger,1999-08-13,1999,8,119180974,66458769,Comedy,Universal,23
1000,Trainwreck,2015-07-17,2015,7,119102928,110212700,Comedy,Universal,25
1001,Rambo III,1988-05-25,1988,5,119063063,53715611,Action,Sony/TriStar,23
1002,The Expendables,2010-08-13,2010,8,119005606,103068524,Action,Lionsgate,25
1003,The Bone Collector,1999-11-05,1999,11,118955100,66488090,Thriller/Suspense,Universal,23
1004,Jungle 2 Jungle,1997-03-07,1997,3,118936161,59925026,Comedy,Walt Disney,24
1005,Shaft,2000-06-16,2000,6,118865832,70327868,Action,Paramount Pictures,24
1006,Journey 2: The Mysterious Island,2012-02-10,2012,2,118865230,103860290,Adventure,Warner Bros.,25
1007,300: Rise of an Empire,2014-03-07,2014,3,118842619,106580051,Action,Warner Bros.,25
1008,The Notebook,2004-06-25,2004,6,118828708,81001787,Drama,New Line,25
1009,Barbershop,2002-09-13,2002,9,118792952,75781642,Comedy,MGM,25
1010,The Bucket List,2007-12-25,2007,12,118639111,93466502,Comedy,Warner Bros.,25
1011,Conan the Barbarian,1982-05-14,1982,5,118566595,38264085,Action,Universal,23
1012,The Rookie,2002-03-29,2002,3,118539867,75600072,Drama,Walt Disney,25
1013,Clueless,1995-07-01,1995,7,118526958,56598476,Comedy,Paramount Pictures,24
1014,Doc Hollywood,1991-08-02,1991,8,118477126,54751779,Romantic Comedy,Warner Bros.,23
1015,Open Season,2006-09-29,2006,9,118367770,85105259,Adventure,Sony Pictures,25
1016,Just Go With It,2011-02-11,2011,2,118358896,103028109,Romantic Comedy,Sony Pictures,25
1017,Creed,2015-11-25,2015,11,118336541,109767581,Drama,Warner Bros.,25
1018,Rise of the Guardians,2012-11-21,2012,11,118205019,103412758,Adventure,Paramount Pictures,25
1019,The Three Musketeers,1993-11-12,1993,11,118127821,53661805,Adventure,Walt Disney,23
1020,Public Enemies,2009-07-01,2009,7,117949739,97104620,Drama,Universal,25
1021,Rookie of the Year,1993-07-07,1993,7,117900272,53579269,Comedy,20th Century Fox,23
1022,Fantasia 2000 (Theatrical Release),1999-12-31,1999,12,117890205,69610858,Musical,Walt Disney,23
1023,Monster-in-Law,2005-05-13,2005,5,117863358,82931301,Comedy,New Line,25
1024,The Kid,2000-07-07,2000,7,117785003,69688384,Comedy,Walt Disney,24
1025,12 Monkeys,1995-12-27,1995,12,117783500,57141459,Drama,Universal,24
1026,AVP: Alien Vs. Predator,2004-08-13,2004,8,117771456,80281096,Horror,20th Century Fox,25
1027,The Breakfast Club,1985-02-15,1985,2,117724731,45875171,Comedy,Universal,23
1028,Four Weddings and a Funeral,1994-03-09,1994,3,117672686,52700832,Romantic Comedy,Gramercy,23
1029,Ford v. Ferrari,2019-11-15,2019,11,117624357,117624357,Drama,20th Century Fox,25
1030,The Girl with the Dragon Tattoo,2011-12-20,2011,12,117567146,102515793,Thriller/Suspense,Sony Pictures,25
1031,Are We There Yet?,2005-01-21,2005,1,117498238,82674398,Romantic Comedy,Sony Pictures,25
1032,The Santa Clause 3: The Escape Clause,2006-11-03,2006,11,117462664,84500122,Adventure,Walt Disney,25
1033,The Nun,2018-09-07,2018,9,117450119,117450119,Horror,Warner Bros.,25
1034,Girls Trip,2017-07-21,2017,7,116905077,115108515,Comedy,Universal,25
1035,Executive Decision,1996-03-15,1996,3,116820682,56679192,Thriller/Suspense,Warner Bros.,24
1036,Hope Floats,1998-05-29,1998,5,116760110,60110313,Drama,20th Century Fox,24
1037,Edward Scissorhands,1990-12-07,1990,12,116570540,53976987,Comedy,20th Century Fox,23
1038,Broadcast News,1987-12-16,1987,12,116425099,51249404,Comedy,20th Century Fox,23
1039,Cheaper by the Dozen 2,2005-12-21,2005,12,116371623,82571173,Adventure,20th Century Fox,25
1040,Eddie Murphy Raw,1987-12-18,1987,12,116256199,50504655,Concert/Performance,Paramount Pictures,23
1041,Little Darlings,1980-03-21,1980,3,116249859,34326249,,Paramount Pictures,22
1042,Fifty Shades Darker,2017-02-10,2017,2,116220042,114434010,Drama,Universal,25
1043,My Cousin Vinny,1992-03-13,1992,3,116189086,52929168,Comedy,20th Century Fox,23
1044,Beethoven's 2nd,1993-12-17,1993,12,116114967,52636940,Comedy,Universal,23
1045,Due Date,2010-11-05,2010,11,116077388,100539043,Comedy,Warner Bros.,25
1046,An American Tail,1986-11-21,1986,11,116015759,47483002,Adventure,Universal,23
1047,Brokeback Mountain,2005-12-09,2005,12,115922026,83043761,Drama,Focus Features,25
1048,Road Trip,2000-05-19,2000,5,115819721,68525609,Comedy,Dreamworks SKG,24
1049,Creed II,2018-11-21,2018,11,115715889,115715889,Drama,MGM,25
1050,Anastasia,1997-11-14,1997,11,115693720,58403409,Musical,20th Century Fox,24
1051,The Little Rascals,1994-08-05,1994,8,115583007,51764950,Comedy,Universal,23
1052,Primal Fear,1996-04-05,1996,4,115572576,56073633,Thriller/Suspense,Paramount Pictures,24
1053,Deuce Bigalow: Male Gigolo,1999-12-10,1999,12,115546111,65535067,Comedy,Walt Disney,23
1054,Yogi Bear,2010-12-17,2010,12,115545792,100246011,Adventure,Warner Bros.,25
1055,Bring it On,2000-08-25,2000,8,115528911,68353550,Comedy,Universal,24
1056,Problem Child,1990-07-27,1990,7,115431234,53470891,Comedy,Universal,23
1057,Cowboys and Aliens,2011-07-29,2011,7,115303603,100368560,Action,Universal,25
1058,Peter Rabbit,2018-02-09,2018,2,115234093,115234093,Adventure,Sony Pictures,25
1059,Bad Teacher,2011-06-24,2011,6,115216630,100292856,Comedy,Sony Pictures,25
1060,Chocolat,2000-12-15,2000,12,115118524,71309760,Drama,Miramax,24
1061,Bridget Jones's Diary,2001-04-13,2001,4,115083050,71500556,Romantic Comedy,Miramax,25
1062,Life,1999-04-16,1999,4,114883887,64062587,Comedy,Universal,23
1063,High School Musical 3: Senior Year,2008-10-24,2008,10,114883841,90559416,Musical,Walt Disney,25
1064,Arachnophobia,1990-07-18,1990,7,114864100,53208180,Thriller/Suspense,Walt Disney,23
1065,Gnomeo and Juliet,2011-02-11,2011,2,114843056,99967670,Comedy,Walt Disney,25
1066,Spirit: Stallion of the Cimarron,2002-05-24,2002,5,114800594,73215310,Adventure,Dreamworks SKG,25
1067,Dumbo,2019-03-29,2019,3,114766307,114766307,Adventure,Walt Disney,25
1068,Scary Movie 2,2001-07-04,2001,7,114723897,71277420,Comedy,Miramax/Dimension,25
1069,Vertical Limit,2000-12-08,2000,12,114393550,68473360,Action,Sony Pictures,24
1070,The Score,2001-07-13,2001,7,114389861,71069884,Thriller/Suspense,Paramount Pictures,25
1071,The Pink Panther,2006-02-10,2006,2,114363843,82226474,Adventure,Sony Pictures,25
1072,Julie & Julia,2009-08-07,2009,8,114331010,94125426,Comedy,Sony Pictures,25
1073,The Haunted Mansion,2003-11-26,2003,11,114307998,75817994,Adventure,Walt Disney,25
1074,Jackass Presents: Bad Grandpa,2013-10-25,2013,10,114296501,102003019,Comedy,Paramount Pictures,25
1075,Man on Fire,2004-04-23,2004,4,114288412,77906816,Thriller/Suspense,20th Century Fox,25
1076,The Maze Runner,2014-09-19,2014,9,114201566,102427862,Thriller/Suspense,20th Century Fox,25
1077,"Planes, Trains & Automobiles",1987-11-25,1987,11,114171130,49509935,Comedy,Paramount Pictures,23
1078,He's Just Not That Into You,2009-02-06,2009,2,114122373,93953653,Romantic Comedy,Warner Bros.,25
1079,The Dukes of Hazzard,2005-08-05,2005,8,114081396,80270227,Comedy,Warner Bros.,25
1080,Pacific Rim,2013-07-12,2013,7,114074345,101802906,Action,Warner Bros.,25
1081,Date Night,2010-04-09,2010,4,113974764,98711404,Comedy,20th Century Fox,25
1082,Naked Gun 33 1/3: The Final Insult,1994-03-18,1994,3,113968450,51041856,Comedy,Paramount Pictures,23
1083,Shallow Hal,2001-11-09,2001,11,113930015,70836296,Romantic Comedy,20th Century Fox,25
1084,Maleficent: Mistress of Evil,2019-10-18,2019,10,113929605,113929605,Adventure,Walt Disney,25
1085,She's All That,1999-01-29,1999,1,113813161,63465522,Romantic Comedy,Miramax,23
1086,The Sword and the Sorcerer,1982-04-23,1982,4,113763521,36714025,Action,Group 1,23
1087,Taps,1981-12-09,1981,12,113755859,35856053,Drama,20th Century Fox,23
1088,This is the End,2013-06-12,2013,6,113701536,101470202,Comedy,Sony Pictures,25
1089,Friday the 13th Part 3,1982-08-13,1982,8,113689284,36690067,Horror,Paramount Pictures,23
1090,Major League,1989-04-07,1989,4,113687899,49793054,Comedy,Paramount Pictures,23
1091,Old School,2003-02-21,2003,2,113542622,75155000,Comedy,Dreamworks SKG,25
1092,Eight Below,2006-02-17,2006,2,113509990,81612565,Adventure,Walt Disney,25
1093,The Green Hornet,2011-01-14,2011,1,113478706,98780042,Action,Sony Pictures,25
1094,Charlotte's Web,2006-12-15,2006,12,113413970,82985708,Drama,Paramount Pictures,25
1095,The Angry Birds Movie,2016-05-20,2016,5,113226623,107509366,Adventure,Sony Pictures,25
1096,The Equalizer,2014-09-26,2014,9,113206645,101530738,Action,Sony Pictures,25
1097,The Crow,1994-05-11,1994,5,113066870,50638075,Action,Miramax,23
1098,The Terminal,2004-06-18,2004,6,113066624,77073959,Drama,Dreamworks SKG,25
1099,Sneakers,1992-09-09,1992,9,112904721,51433000,Action,Universal,23
1100,Noah,2014-03-28,2014,3,112843620,101200044,Drama,Paramount Pictures,25
1101,Dennis the Menace,1993-06-25,1993,6,112820445,51270765,Comedy,Warner Bros.,23
1102,Bull Durham,1988-06-15,1988,6,112797150,50888729,Drama,Orion Pictures,23
1103,102 Dalmatians,2000-11-22,2000,11,112448565,66941559,Adventure,Walt Disney,24
1104,U.S. Marshals,1998-03-06,1998,3,112337760,57833603,Thriller/Suspense,Warner Bros.,24
1105,Swordfish,2001-06-08,2001,6,112302423,69772969,Action,Warner Bros.,25
1106,Natural Born Killers,1994-08-26,1994,8,112273526,50282766,Black Comedy,Warner Bros.,23
1107,Angels in the Outfield,1994-07-15,1994,7,112170956,50236831,Comedy,Walt Disney,23
1108,Excalibur,1981-04-10,1981,4,112072659,34200000,Adventure,Warner Bros.,23
1109,The Social Network,2010-10-01,2010,10,111933859,96962694,Drama,Sony Pictures,25
1110,Edge of Tomorrow,2014-06-06,2014,6,111735489,100206256,Action,Warner Bros.,25
1111,Awakenings,1990-12-19,1990,12,111734296,51636504,Drama,Sony Pictures,23
1112,When a Man Loves a Woman,1994-04-29,1994,4,111691187,50021959,Drama,Walt Disney,23
1113,Saw III,2006-10-27,2006,10,111599194,80238724,Horror,Lionsgate,25
1114,Nacho Libre,2006-06-16,2006,6,111542548,80197993,Comedy,Paramount Pictures,25
1115,The Mighty Ducks,1992-10-02,1992,10,111438977,50752337,Comedy,Walt Disney,23
1116,John Q,2002-02-15,2002,2,111368775,71026631,Drama,New Line,25
1117,Sabrina,1995-12-15,1995,12,111203347,53458319,Romantic Comedy,Paramount Pictures,24
1118,Glass,2019-01-18,2019,1,111048468,111048468,Thriller/Suspense,Universal,25
1119,Tin Cup,1996-08-16,1996,8,110998927,53854588,Romantic Comedy,Warner Bros.,24
1120,Olympus Has Fallen,2013-03-22,2013,3,110852439,98927592,Thriller/Suspense,FilmDistrict,25
1121,Revenge of the Nerds,1984-07-20,1984,7,110823287,40874452,Comedy,20th Century Fox,23
1122,Pineapple Express,2008-08-06,2008,8,110818932,87341380,Comedy,Sony Pictures,25
1123,The Man in the Iron Mask,1998-03-13,1998,3,110656719,56968169,Adventure,MGM,24
1124,Garfield: The Movie,2004-06-11,2004,6,110563551,75367693,Adventure,20th Century Fox,25
1125,Oliver & Company,1988-11-18,1988,11,110502779,49576671,Adventure,Walt Disney,23
1126,Godzilla: King of the Monsters,2019-05-31,2019,5,110500138,110500138,Action,Warner Bros.,25
1127,Ray,2004-10-29,2004,10,110303916,75305995,Drama,Universal,25
1128,Sommersby,1993-02-05,1993,2,110204572,50081992,Drama,Warner Bros.,23
1129,Best Friends,1982-12-17,1982,12,110125497,36670556,Comedy,Warner Bros.,23
1130,Sex and the City 2,2010-05-27,2010,5,110090934,95347692,Comedy,Warner Bros.,25
1131,Last Action Hero,1993-06-18,1993,6,110060224,50016394,Action,Sony Pictures,23
1132,La marche de l'empereur,2005-06-24,2005,6,110055086,77437223,Documentary,Warner Independent,25
1133,Madea Goes To Jail,2009-02-20,2009,2,109937458,90508336,Comedy,Lionsgate,25
1134,2010,1984-12-07,1984,12,109870727,41000000,Thriller/Suspense,MGM,23
1135,Sleepers,1996-10-18,1996,10,109826580,53300852,Drama,Warner Bros.,24
1136,Baby Driver,2017-06-28,2017,6,109508759,107825862,Thriller/Suspense,Sony Pictures,25
1137,The Book of Eli,2010-01-15,2010,1,109499039,94835059,Action,Warner Bros.,25
1138,A Nightmare on Elm Street 4: The Drea…,1988-08-19,1988,8,109430595,49369899,Horror,New Line,23
1139,Ladder 49,2004-10-01,2004,10,109321130,74541707,Action,Walt Disney,25
1140,Yentl,1983-11-18,1983,11,109150536,39012241,Musical,MGM/UA Classics,23
1141,Spawn,1997-07-31,1997,7,109121502,54979992,Action,New Line,24
1142,The Divine Secrets of the Ya-Ya Siste…,2002-06-07,2002,6,109110734,69586544,Comedy,Warner Bros.,25
1143,The Jackal,1997-11-14,1997,11,108999437,54956941,Thriller/Suspense,Universal,24
1144,Beowulf,2007-11-16,2007,11,108890509,82280579,Adventure,Paramount Pictures,25
1145,Bridge to Terabithia,2007-02-16,2007,2,108888514,82234139,Drama,Walt Disney,25
1146,Mask,1985-03-08,1985,3,108852384,42417782,Drama,Universal,23
1147,Starship Troopers,1997-11-07,1997,11,108683667,54768952,Action,Sony Pictures,24
1148,Independence Day: Resurgence,2016-06-24,2016,6,108629407,103144286,Action,20th Century Fox,25
1149,Three Kings,1999-10-01,1999,10,108620334,60652036,Action,Warner Bros.,23
1150,Richard Pryor Live on the Sunset Strip,1982-03-12,1982,3,108360371,34970309,Concert/Performance,Sony Pictures,23
1151,The Upside,2019-01-11,2019,1,108235497,108235497,Comedy,STX Entertainment,25
1152,Endless Love,1981-07-17,1981,7,108140282,33000000,Drama,Universal,23
1153,Little Women,2019-12-25,2019,12,108095955,108095955,Drama,Sony Pictures,25
1154,Christmas with the Kranks,2004-11-24,2004,11,108091252,73701902,Comedy,Sony Pictures,25
1155,Dressed to Kill,1980-01-01,1980,1,108029696,31899000,Thriller/Suspense,Filmways Pictures,22
1156,The Ugly Truth,2009-07-24,2009,7,108002339,88915214,Romantic Comedy,Sony Pictures,25
1157,Snake Eyes,1998-08-07,1998,8,107982452,55591409,Thriller/Suspense,Paramount Pictures,24
1158,Constantine,2005-02-18,2005,2,107978616,75976178,Action,Warner Bros.,25
1159,The Ring Two,2005-03-18,2005,3,107929659,75941727,Horror,Dreamworks SKG,25
1160,The Conjuring 2: The Enfield Poltergeist,2016-06-10,2016,6,107919283,102470008,Horror,Warner Bros.,25
1161,The Fighter,2010-12-10,2010,12,107817579,93617009,Drama,Paramount Pictures,25
1162,What Dreams May Come,1998-10-02,1998,10,107775846,55485043,Drama,Polygram,24
1163,Little Women,1994-12-21,1994,12,107564676,50003303,Drama,Sony Pictures,23
1164,The Mexican,2001-03-02,2001,3,107531179,66808615,Action,Dreamworks SKG,25
1165,Zero Dark Thirty,2012-12-19,2012,12,107364438,95720716,Drama,Sony Pictures,25
1166,Flight,2012-11-02,2012,11,107289153,93772375,Drama,Paramount Pictures,25
1167,Small Soldiers,1998-07-10,1998,7,107113048,55143823,Adventure,Dreamworks SKG,24
1168,"See No Evil, Hear No Evil",1989-05-12,1989,5,107082447,46900000,Comedy,Sony Pictures,23
1169,Disturbia,2007-04-13,2007,4,107014651,80818974,Thriller/Suspense,Paramount Pictures,25
1170,Police Academy 3: Back in Training,1986-03-21,1986,3,107009750,43579163,Comedy,Warner Bros.,23
1171,Austin Powers: International Man of M…,1997-05-02,1997,5,106946216,53883989,Comedy,New Line,24
1172,The Land Before Time,1988-11-18,1988,11,106931659,48092846,Adventure,Universal,23
1173,Halloween: H2O,1998-08-05,1998,8,106914760,55041738,Horror,Miramax,24
1174,White Nights,1985-11-22,1985,11,106832560,42160849,Thriller/Suspense,Sony Pictures,23
1175,Bugsy,1991-12-13,1991,12,106794781,49103967,Drama,Sony/TriStar,23
1176,The Exorcism of Emily Rose,2005-09-09,2005,9,106694234,75072454,Horror,Sony Pictures,25
1177,Absence of Malice,1981-11-19,1981,11,106611652,33312129,Drama,Columbia,23
1178,Something to Talk About,1995-08-04,1995,8,106525398,50865589,Comedy,Warner Bros.,24
1179,42,2013-04-12,2013,4,106474063,95020213,Drama,Warner Bros.,25
1180,The Town,2010-09-17,2010,9,106440593,92186262,Drama,Warner Bros.,25
1181,Pale Rider,1985-06-28,1985,6,106267676,41410568,Western,Warner Bros.,23
1182,The Net,1995-07-28,1995,7,106014710,50621733,Thriller/Suspense,Sony Pictures,24
1183,Pitch Perfect 3,2017-12-22,2017,12,105885484,104897530,Comedy,Universal,25
1184,Kill Bill: Volume 1,2003-10-10,2003,10,105883416,70098138,Action,Miramax,25
1185,Four Brothers,2005-08-12,2005,8,105872667,74494381,Drama,Paramount Pictures,25
1186,Dragonheart,1996-05-31,1996,5,105867018,51364680,Adventure,Universal,24
1187,The LEGO Movie 2: The Second Part,2019-02-08,2019,2,105806510,105806508,Adventure,Warner Bros.,25
1188,Malcolm X,1992-11-18,1992,11,105760012,48169910,Drama,Warner Bros.,23
1189,Wayne's World 2,1993-12-10,1993,12,105711748,47965000,Comedy,Paramount Pictures,23
1190,Daddy’s Home 2,2017-11-10,2017,11,105618161,104029443,Comedy,Paramount Pictures,25
1191,Sharky's Machine,1981-12-18,1981,12,105585738,32984898,Thriller/Suspense,Warner Bros.,23
1192,Arrival,2016-11-11,2016,11,105579197,100546139,Drama,Paramount Pictures,25
1193,Red Dawn,1984-08-10,1984,8,105469932,38900000,Action,MGM/UA Classics,23
1194,"You, Me and Dupree",2006-07-14,2006,7,105428436,75802010,Comedy,Universal,25
1195,Single White Female,1992-08-14,1992,8,105406872,48017402,Thriller/Suspense,Sony Pictures,23
1196,Sin City,2005-04-01,2005,4,105317594,74103820,Action,Miramax/Dimension,25
1197,Up Close & Personal,1996-03-01,1996,3,105209778,51045801,Drama,Walt Disney,24
1198,Pee Wee's Big Adventure,1985-07-26,1985,7,105061804,40940662,Adventure,Warner Bros.,23
1199,Hustlers,2019-09-13,2019,9,104963598,104963598,Black Comedy,STX Entertainment,25
1200,Full Metal Jacket,1987-06-26,1987,6,104883822,45015999,Drama,Warner Bros.,23
1201,Prince of Persia: Sands of Time,2010-05-28,2010,5,104793487,90759676,Action,Walt Disney,25
1202,Black Rain,1989-09-22,1989,9,104781462,45892212,Thriller/Suspense,Paramount Pictures,23
1203,An American Werewolf in London,1981-08-21,1981,8,104775640,31973249,Horror,Universal,23
1204,Think Like a Man,2012-04-20,2012,4,104773245,91547205,Romantic Comedy,Sony Pictures,25
1205,Under Siege 2: Dark Territory,1995-07-14,1995,7,104763078,50024083,Action,Warner Bros.,24
1206,A Walk in the Clouds,1995-08-11,1995,8,104729690,50008143,Drama,20th Century Fox,24
1207,Brewster's Millions,1985-05-22,1985,5,104700838,40800000,Comedy,Universal,23
1208,Murder on the Orient Express,2017-11-10,2017,11,104396965,102826543,Drama,20th Century Fox,25
1209,The River Wild,1994-09-30,1994,9,104380531,46815000,Action,Universal,23
1210,A Nightmare On Elm Street 3: Dream Wa…,1987-02-27,1987,2,104364770,44793222,Horror,New Line,23
1211,Red,2010-10-15,2010,10,104350194,90380162,Action,Summit Entertainment,25
1212,Elysium,2013-08-09,2013,8,104266483,93050117,Action,Sony Pictures,25
1213,Valkyrie,2008-12-25,2008,12,104236174,83107829,Thriller/Suspense,United Artists,25
1214,Bachelor Party,1984-06-29,1984,6,104211741,38435947,Comedy,20th Century Fox,23
1215,Heartbreak Ridge,1986-12-05,1986,12,104044235,42724017,Action,Warner Bros.,23
